title,authors,journal,year,doi,url,pdf_url,abstract
Salt bridge interactions in the inter-domain cleft of the tubulin-like protein FtsZ occludes binding of the cell division inhibitor PC190723,"S Poddar, J Chakraborty, G Pananghat, R Srinivasan",MOLECULAR BIOLOGY OF THE CELL,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:tS2w5q8j5-wC,,
Polymerisation of SopA requires the conformational change to SopA-ATP* state and is mediated by the last C-terminal helix,"N Mitra, D Mishra, IA Puthethu, R Srinivasan",MOLECULAR BIOLOGY OF THE CELL,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:vRqMK49ujn8C,,
Uracil excision repair pathway activities are not intrinsic to nucleoside diphosphate kinases from Mycobacterium tuberculosis and Escherichia coli.,"P Kumar, K Krishna, R Srinivasan, PA Kumar, U Varshney",Journal Article,2024,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:Se3iqnhoufwC,,
A mechanism of salt bridge–mediated resistance to FtsZ inhibitor PC190723 revealed by a cell-based screen,"AK Sharma, SM Poddar, J Chakraborty, BS Nayak, S Kalathil, N Mitra, et al.",Molecular biology of the cell,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:fPk4N6BV_jEC,,
An amphipathic helix facilitates direct membrane binding of Mycoplasma FtsZ,"S Dutta, S Poddar, J Chakraborty, R Srinivasan, P Gayathri","bioRxiv,",2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:abG-DnoFyZgC,,
"World War II, Sex and Antibiotics-II","D Mishra, IA Puthethu, N Mitra, R Srinivasan",Resonance: Journal of Science Education,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:b0M2c_1WBrUC,,
"World War II, Sex and Antibiotics","D Mishra, IA Puthethu, N Mitra, R Srinivasan",Resonance,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:EUQCXRtRnyEC,,
A mechanism of salt bridge–mediated resistance to FtsZ inhibitor PC190723 revealed by a cell-based screen,"AK Sharmaa, SM Poddara, J Chakraborty, BS Nayaka, S Kalathila, et al.",Journal Article,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:XiVPGOgt02cC,,
A mechanism of salt bridge–mediated resistance to FtsZ inhibitor PC190723 revealed by a cell-based screen,"SM Poddar, S Kalathil, AK Sharma, R Srinivasan, J CHAKRABORTY, et al.",American Society for Cell Biology,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:cFHS6HbyZ2cC,,
Filament organization of the bacterial actin MreB is dependent on the nucleotide state,"V Pande, N Mitra, SR Bagde, R Srinivasan, P Gayathri",Journal of Cell Biology,2022,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:RGFaLdJalmkC,,
Catching a Walker in the act—DNA partitioning by ParA family of proteins,"D Mishra, R Srinivasan",Frontiers in Microbiology,2022,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:O3NaXMp0MMsC,,
A role for the last C-terminal helix of the F plasmid segregating protein SopA in nucleoid binding and plasmid maintenance,"D Mishra, A Jakhmola, R Srinivasan",Plasmid,2022,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:35N4QoGY0k4C,,
Structures of FtsZ from a cell wall-less bacterium Spiroplasma provide a mechanism for kinetic polarity,"J Chakraborty, SM Poddar, S Dutta, V Bahulekar, S Harne, R Srinivasan, et al.",bioRxiv,2022,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:2P1L_qKh6hAC,,
Mechanism for kinetic polarity revealed by FtsZ from a cell wall-less bacterium Spiroplasma,"J Chakraborty, S Poddar, S Dutta, V Bahulekar, S Harne, R Srinivasan, et al.","bioRxiv,",2022,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:u_35RYKgDlwC,,
Identification of a Potential Membrane-Targeting Sequence in the C-Terminus of the F Plasmid Segregation Protein SopA: D. Mishra et al.,"D Mishra, S Pahujani, N Mitra, A Srivastava, R Srinivasan",The Journal of Membrane Biology,2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:NMxIlDl6LWMC,,
Filament dynamics driven by ATP hydrolysis modulates membrane binding of the bacterial actin MreB,"V Pande, N Mitra, SR Bagde, R Srinivasan, P Gayathri","biorxiv,",2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:ns9cj8rnVeAC,,
Bimetallic gold–silver nanoparticles mediate bacterial killing by disrupting the actin cytoskeleton MreB,"P Jena, M Bhattacharya, G Bhattacharjee, B Satpati, P Mukherjee, et al.",Nanoscale,2020,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:YFjsv_pBGBYC,,
Instrumental Lives: An Intimate Biography of an Indian Laboratory,R Srinivasan,Current Science,2020,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:mvPsJ3kp5DgC,,
MtFtsX a predicted membrane domain of ABC transporter complex MtFtsEX of Mycobacterium tuberculosis interacts with the cell division protein MtFtsZ,"MA Mir, R Srinivasan, P Ajitkumar",The International Journal of Mycobacteriology,2019,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:JV2RwH3_ST0C,,
Steric hindrance in the upper 50 kDa domain of the motor Myo2p leads to cytokinesis defects in fission yeast,"S Palani, R Srinivasan, P Zambon, A Kamnev, P Gayathri, et al.",Journal of Cell Science,2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:M3NEmzRMIkIC,,
Motor activity dependent and independent functions of myosin II contribute to actomyosin ring assembly and contraction in Schizosaccharomyces pombe,"S Palani, TG Chew, S Ramanujam, A Kamnev, S Harne, B Chapa-y-Lazo, et al.",Current Biology,2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:maZDTaKrznsC,,
Novel actin filaments from Bacillus thuringiensis form nanotubules for plasmid DNA segregation,"S Jiang, A Narita, D Popp, U Ghoshdastider, LJ Lee, R Srinivasan, et al.",Proceedings of the National Academy of Sciences,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:k_IJM867U9cC,,
Novel actin filaments from Bacillus thuringiensis form nanotubules for plasmid DNA segregation.,"JSM Jiang ShiMin, A Narita, D Popp, U Ghoshdastider, LLJ Lee LinJie, et al.",Journal Article,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:xtRiw3GOFMkC,,
NDK Interacts with FtsZ and Converts GDP to GTP to Trigger FtsZ Polymerisation-A Novel Role for NDK,"S Mishra, K Jakkala, R Srinivasan, M Arumugam, R Ranjeri, P Gupta, et al.",PloS one,2015,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:isC4tDSrTZIC,,
Bacteria spring a surprise,"R Srinivasan, MK Balasubramanian",Elife,2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:4OULZ7Gr8RgC,,
Bacteria spring a surprise,"S Ramanujam, MK Balasubramanian",eLife,2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:blknAaTinKkC,,
Chromosomes: Bacteria spring a surprise,R Srinivasan,eLife Sciences Publications Ltd,2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:3fE2CSJIrl8C,,
In vitro contraction of cytokinetic ring depends on myosin II but not on actin dynamics,"M Mishra, J Kashiwazaki, T Takagi, R Srinivasan, Y Huang, et al.",Nature cell biology,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:MXK_kJrjxJIC,,
"The Nitrosopumilus maritimus CdvB, but Not FtsZ, Assembles into Polymers","KH Ng, V Srinivas, R Srinivasan, M Balasubramanian",Archaea,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:_FxGoFyzp5QC,,
"Research Article The Nitrosopumilus maritimus CdvB, but Not FtsZ, Assembles into Polymers","KH Ng, V Srinivas, R Srinivasan, M Balasubramanian",Journal Article,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:olpn-zPbct0C,,
Comparing contractile apparatus‐driven cytokinesis mechanisms across kingdoms,"MK Balasubramanian, R Srinivasan, Y Huang, KH Ng",Cytoskeleton,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:WF5omc3nYNoC,,
Cylindrical cellular geometry ensures fidelity of division site placement in fission yeast,"M Mishra, Y Huang, P Srivastava, R Srinivasan, M Sevugan, R Shlomovitz, et al.",Journal of Cell Science,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:zYLM7Y9cAGgC,,
Novel actin-like filament structure from Clostridium tetani,"D Popp, A Narita, LJ Lee, U Ghoshdastider, B Xue, R Srinivasan, et al.",Journal of biological chemistry,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:YsMSGLbcyi4C,,
Novel actin-like filament structure from Clostridium tetani,"MK Balasubramanian, RC Robinson, U Ghoshdastider, B Xue, et al.",Journal Article,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:dfsIfKJdRG4C,,
Bacillus anthracis tubulin‐related protein Ba‐TubZ assembles force‐generating polymers,"R Srinivasan, M Mishra, FY Leong, KH Chiam, M Balasubramanian",Cytoskeleton,2011,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:hqOjcs7Dif8C,,
Mycobacterium tuberculosis FtsZ requires at least one arginine residue at the C-terminal end for polymerization in vitro,"P Gupta, H Rajeswari, M Arumugam, S Mishra, R Bhagavat, P Anand, et al.",Acta Biochim Biophys Sin,2010,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:ufrVoPGSRksC,,
Method of Screening Antibacterial Drug Compounds,"R Srinivasan, M Balasubramanian, M Hori",US Patent App.,2010,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:LkGwnXOMwfcC,,
Mycobacterium tuberculosis FtsZ requires at least one arginine residue at the C-terminal end for polymerization in vitro,R Srinivasan,Journal Article,2010,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:t6usbXjVLHcC,,
Cell polarization: it's all about being in shape,"R Srinivasan, M Mishra",Current Biology,2009,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:UebtZRa9Y70C,,
The bacterial cell division protein FtsZ assembles into cytoplasmic rings in fission yeast,"R Srinivasan, M Mishra, L Wu, Z Yin, MK Balasubramanian",Genes & development,2008,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:u-x6o8ySG0sC,,
Analysis of degradation of bacterial cell division protein FtsZ by the ATP-dependent zinc-metalloprotease FtsH in vitro,"R Srinivasan, H Rajeswari, P Ajitkumar",Microbiological research,2008,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=dRknmPkAAAAJ&pagesize=100&citation_for_view=dRknmPkAAAAJ:qjMakFHDy7sC,,
